player_id,surname,forename,player_name,comp_rec_pos,soccerbase_pos,tm_pos_1,tm_pos_2,tm_pos_3
WarrenEmrys,Warren,Emrys,Emrys Warren,Left Back,,,,
WarrinerSteve19581218,Warriner,Steve,Steve Warriner,Defender,,,,
WarringtonLewis20021010,Warrington,Lewis,Lewis Warrington,,Midfielder,Central Midfield,Attacking Midfield,Defensive Midfield
WassellGilbert19100409,Wassell,Gilbert,Gilbert Wassell,Left Back,,,,
WaterfallLuke19900730,Waterfall,Luke,Luke Waterfall,,Defender,Centre-Back,,
WaterstonArchie19021013,Waterston,Archie,Archie Waterston,Center Forward,,,,
WatkinsBrad19940911,Watkins,Brad,Brad Watkins,,Goalkeeper,,,
WatkinsBradley19940911,Watkins,Bradley,Bradley Watkins,,,Goalkeeper,,
WatsonJack1912,Watson,Jack,Jack Watson,Center Half,,,,
WatsonRyan19930707,Watson,Ryan,Ryan Watson,,Midfielder,Defensive Midfield,Central Midfield,Right-Back
WattsFarewell19040310,Watts,Farewell,Farewell Watts,Inside Right,,,,
WebbJohn19520210,Webb,John,John Webb,Right Back,,,,
WeirJimmy19390412,Weir,Jimmy,Jimmy Weir,Outside Left,,,,
WeirRobbie19881209,Weir,Robbie,Robbie Weir,,Midfielder,Defensive Midfield,Central Midfield,
WelchKeith19681003,Welch,Keith,Keith Welch,,Goalkeeper,Goalkeeper,,
WellingsBarry19580610,Wellings,Barry,Barry Wellings,Forward,,,,
WelshJohn19840110,Welsh,John,John Welsh,,Midfielder,Central Midfield,Defensive Midfield,
WestGordon19430424,West,Gordon,Gordon West,Goalkeeper,,Goalkeeper,,
WestlakeBrian19430919,Westlake,Brian,Brian Westlake,Center Forward,,,,
WhartonPaddy20000527,Wharton,Paddy,Paddy Wharton,,Goalkeeper,Goalkeeper,,
WheelerJohnny19280726,Wheeler,Johnny,Johnny Wheeler,Right Half,,Right Midfield,,
WhiteBob19011205,White,Bob,Bob White,Outside Right,,,,
WhiteheadPhil19691217,Whitehead,Phil,Phil Whitehead,,Goalkeeper,Goalkeeper,,
WhitehurstBert18980622,Whitehurst,Bert,Bert Whitehurst,Center Forward,,,,
WhitmoreTheodore19720805,Whitmore,Theodore,Theodore Whitmore,,Midfielder,Attacking Midfield,,
WhittinghamSteve19620204,Whittingham,Steve,Steve Whittingham,Forward,,,,
WhyteCrawford19071204,Whyte,Crawford,Crawford Whyte,Left Back,,,,
WildeLeslie,Wilde,Leslie,Leslie Wilde,Goalkeeper,,,,
WilkinsonBarry19350616,Wilkinson,Barry,Barry Wilkinson,Half Back,,,,
WilliamsGary19590514,Williams,Gary,Gary Williams,Defender,,,,
WilliamsGraham19361231,Williams,Graham,Graham Williams,Outside Left,,Left Midfield,,
WilliamsJack20030516,Williams,Jack,Jack Williams,,,Right Winger,Attacking Midfield,Left Winger
WilliamsJackie19290801,Williams,Jackie,Jackie Williams,Outside Left,,,,
